Station,Temperature,Precipitation,Humidity,Pressure,dayrain
Alishan,14.5,812.4,95,762.5,30
Anbu,21.9,152.2,89,916.1,15
Banqiao,28.3,46.1,75,1004.8,11
Chenggong,27.1,216.1,84,1001.5,16
Chiayi,28.5,428.2,79,1002.6,18
Dawu,28.2,490.5,77,1004.9,11
Dongjidao,28.1,343,82,1001.4,12
Hengchun,28.8,488,80,1003.6,12
Hsinchu,28.5,71.2,73,1002.6,9
Hualien,27.8,122.5,78,1004,16
Kaohsiung,29.1,835,75,1005.5,14
Keelung,27.2,244.5,79,1003.2,16
Kinmen,27.1,109.5,81,1002.8,10
Lanyu,26,416,86,970,21
Matsu,25.2,84.9,84,996.3,13
Penghu,28.1,116.4,83,1004.7,9
Pengjiayu,26.1,69.3,86,995.2,7
Su-ao,27.3,328,81,1003.6,15
SunMoonLake,22.6,427,80,897.4,16
Taichung,28.7,234,76,996,10
Tainan,29,555.5,75,1003.3,15
Taipei,28.5,119.8,69,1002.5,13
Taitung,28.3,206.2,81,1004.9,12
Tamsui,28,42,75,1004.3,6
Wuqi,28.1,69.5,76,1003,9
Xinwu,27.4,63.7,80,1003.3,10
Yilan,27.8,245.3,79,1005.5,16
Yushan,8.3,429,91,642.7,23
Zhuzihu,23.6,151,83,939.2,14
